"","x","expostos","mortes"
"1",15,1299,0
"2",16,1288,1
"3",17,1340,1
"4",18,1281,0
"5",19,1387,3
"6",20,1355,0
"7",21,1326,2
"8",22,1320,1
"9",23,1331,1
"10",24,1282,1
"11",25,1313,0
"12",26,1318,0
"13",27,1330,0
"14",28,1336,1
"15",29,1332,0
"16",30,1332,1
"17",31,1275,1
"18",32,1297,4
"19",33,1298,2
"20",34,1362,1
"21",35,1286,3
"22",36,1351,1
"23",37,1376,1
"24",38,1416,0
"25",39,1405,0
"26",40,1321,2
"27",41,1292,3
"28",42,1373,0
"29",43,1296,3
"30",44,1365,3
"31",45,1335,3
"32",46,1334,4
"33",47,1351,2
"34",48,1325,4
"35",49,1354,3
"36",50,1386,5
"37",51,1360,8
"38",52,1280,8
"39",53,1306,3
"40",54,1306,2
"41",55,1347,6
"42",56,1371,14
"43",57,1356,7
"44",58,1283,5
"45",59,1282,6
"46",60,1335,10
"47",61,1375,8
"48",62,1279,9
"49",63,1310,10
"50",64,1341,18
"51",65,1404,13
"52",66,1379,18
"53",67,1336,25
"54",68,1337,22
"55",69,1402,36
"56",70,1307,22
"57",71,1325,24
"58",72,1347,28
"59",73,1387,37
"60",74,1381,32
"61",75,1392,43
"62",76,1347,44
"63",77,1298,52
"64",78,1355,58
"65",79,1327,53
"66",80,1343,61
"67",81,1339,74
"68",82,1335,87
"69",83,1383,78
"70",84,1253,94
"71",85,1283,116
"72",86,1296,109
"73",87,1335,114
"74",88,1322,129
"75",89,1288,150
