"","x","expostos","mortes"
"1",15,699,0
"2",16,664,0
"3",17,717,0
"4",18,656,1
"5",19,676,0
"6",20,674,0
"7",21,702,0
"8",22,679,0
"9",23,644,1
"10",24,633,0
"11",25,658,3
"12",26,667,1
"13",27,657,1
"14",28,648,1
"15",29,726,1
"16",30,620,1
"17",31,676,1
"18",32,660,0
"19",33,702,0
"20",34,643,1
"21",35,680,0
"22",36,659,2
"23",37,634,0
"24",38,643,1
"25",39,646,1
"26",40,624,1
"27",41,670,0
"28",42,646,4
"29",43,679,0
"30",44,709,2
"31",45,624,3
"32",46,643,1
"33",47,624,3
"34",48,660,5
"35",49,622,1
"36",50,669,1
"37",51,615,0
"38",52,646,8
"39",53,668,5
"40",54,709,2
"41",55,670,3
"42",56,721,6
"43",57,643,1
"44",58,692,5
"45",59,661,5
"46",60,658,3
"47",61,630,7
"48",62,704,7
"49",63,749,7
"50",64,614,5
"51",65,712,11
"52",66,614,11
"53",67,681,8
"54",68,686,10
"55",69,674,11
"56",70,640,8
"57",71,684,15
"58",72,734,18
"59",73,677,18
"60",74,678,18
"61",75,707,19
"62",76,642,21
"63",77,681,19
"64",78,674,40
"65",79,677,38
"66",80,705,35
"67",81,689,40
"68",82,692,34
"69",83,660,48
"70",84,610,53
"71",85,643,55
"72",86,642,44
"73",87,663,63
"74",88,681,70
"75",89,641,89
